name,color,width,height,rabbet,pcs,ft,condition,img_url,category
M108-BRK,Black/Burgundy,2  1/16,1  3/16,  1/2 ,15,142.5,N/A,https://i.postimg.cc/BvnWrvrx/M108-BRK.jpg,Between 2 and 3 inches
M1104R-BR247,Beige,1  1/2 ,1  1/8 ,  7/8 ,16,152,N/A,https://i.postimg.cc/C5yQxMQr/M1104-R-BR247.jpg,Between 1 and 2 inches
M1104R-BR250,Walnut,1  1/2 ,1  1/8 ,  7/8 ,16,152,N/A,https://i.postimg.cc/Vk7ZbWhC/M1104-R-BR250.jpg,Between 1 and 2 inches
M1104R-BR251,Espresso,1  1/2 ,1  1/8 ,  7/8 ,16,152,N/A,https://i.postimg.cc/SNfvmh7V/M1104-R-BR251.jpg,Between 1 and 2 inches
M1104R-BR254,Walnut,1  1/2 ,1  1/8 ,  7/8 ,16,152,N/A,https://i.postimg.cc/9QXNMnL2/M1104-R-BR254.jpg,Between 1 and 2 inches
M1104SC-BK,Black,1  5/8 ,1  3/16, 13/16,16,152,N/A,https://i.postimg.cc/k5B1Ntrh/M1104-SC-BK.jpg,Between 1 and 2 inches
M1104SC-BR109,Walnut,1  5/8 ,1  3/16, 13/16,16,152,N/A,https://i.postimg.cc/Zq2fwK4Y/M1104-SC-BR109.jpg,Between 1 and 2 inches
M1104SC-BR263,Bronze,1  5/8 ,1  3/16, 13/16,16,152,N/A,https://i.postimg.cc/ydRLt48m/M1104-SC-BR263.jpg,Between 1 and 2 inches
M1104SC-S295,Silver,1  5/8 ,1  3/16, 13/16,16,152,N/A,https://i.postimg.cc/rsLfLnDv/M1104-SC-S295.jpg,Between 1 and 2 inches
M110R-1057,Gold,2  1/8 , 15/16,  9/16,15,142.5,N/A,https://i.postimg.cc/sgMnqWRZ/M110-1057.jpg,Between 2 and 3 inches
M110R-1058,Silver,2  1/8 , 15/16,  9/16,15,142.5,N/A,https://i.postimg.cc/y82fHNVp/M110-1058.jpg,Between 2 and 3 inches
M1204-BK114,Black,2  1/2 ,1  1/8 ,  3/8 ,16,152,N/A,https://i.postimg.cc/7hMmP37b/M1204-BK114.jpg,Between 2 and 3 inches
