name,color,width,height,rabbet,pcs,ft,condition,img_url
M1104R-BR254,Walnut,1  1/2 ,1  1/8 ,  7/8 ,16,152,N/A,https://i.postimg.cc/9QXNMnL2/M1104-R-BR254.jpg
M1104SC-BK,Black,1  5/8 ,1  3/16, 13/16,16,152,N/A,https://i.postimg.cc/k5B1Ntrh/M1104-SC-BK.jpg
M1104SC-BR109,Walnut,1  5/8 ,1  3/16, 13/16,16,152,N/A,https://i.postimg.cc/Zq2fwK4Y/M1104-SC-BR109.jpg
M1104SC-BR263,Bronze,1  5/8 ,1  3/16, 13/16,16,152,N/A,https://i.postimg.cc/ydRLt48m/M1104-SC-BR263.jpg
M1104SC-S295,Silver,1  5/8 ,1  3/16, 13/16,16,152,N/A,https://i.postimg.cc/rsLfLnDv/M1104-SC-S295.jpg
M110R-1057,Gold,2  1/8 , 15/16,  9/16,15,142.5,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M110R-1058,Silver,2  1/8 , 15/16,  9/16,15,142.5,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M1204-BK114,Black,2  1/2 ,1  1/8 ,  3/8 ,16,152,N/A,https://i.postimg.cc/7hMmP37b/M1204-BK114.jpg
M1204-BR300,Burnt,2  1/2 ,1  1/8 ,  3/8 ,16,152,N/A,https://i.postimg.cc/dQ8W9YXv/M1204-BR300.jpg
M1204-BR332,Grey,2  1/2 ,1  1/8 ,  3/8 ,16,152,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M1204-BR334,Espresso,2  1/2 ,1  1/8 ,  3/8 ,16,152,N/A,https://i.postimg.cc/kXqT1H3S/M1204-BR334.jpg
M1204-BR335,Walnut,2  1/2 ,1  1/8 ,  3/8 ,16,152,N/A,https://i.postimg.cc/Qxm0Rqhy/M1204-BR335.jpg
M1204-BR350,,2  1/2 ,1  1/8 ,  3/8 ,16,152,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M1204-S329-2,Silver,2  1/2 ,1  1/8 ,  3/8 ,16,152,N/A,https://i.postimg.cc/43D5zLQm/M1204-S329-2.jpg
M1204-S339,Grey,2  1/2 ,1  1/8 ,  3/8 ,16,152,N/A,https://i.postimg.cc/pdhC5b8w/M1204-S339.jpg
M1204-S345,Silver,2  1/2 ,1  1/8 ,  3/8 ,16,152,N/A,https://i.postimg.cc/bwFLvNG0/M1204-S345.jpg
M1706-BK129,,N/A,N/A,N/A,12,114,N/A,https://thisisnotavalidurlthisisjustaplaceholderforthepicturefunctiontowork.cc/randomimagename.jpg
M835S-BK54,Black,1  3/4 ,1,  5/16,24,228,N/A,https://i.postimg.cc/HWyGDRhP/M835s-BK54.jpg
M836-S191,Charcoal,2  3/8 ,1  1/2 ,  9/16,10,95,N/A,https://i.postimg.cc/5NBZjv1B/M836-S191.jpg
M838-GN,Green,2 13/16,1  1/4 ,  1/2 ,12,114,N/A,https://i.postimg.cc/Jnsfh240/M838s-GN.jpg
M838-S320,Silver,2 13/16,1  1/4 ,  1/2 ,12,114,N/A,https://i.postimg.cc/WzrxGqZP/M838-S320.jpg
M902-S205,Silver,2  1/16, 15/16,  3/8 ,21,190,N/A,https://i.postimg.cc/xCBWN3cR/M902-S205.jpg
M913-BR180,Walnut,2  1/16,1  1/16,  9/16,14,142.5,N/A,https://i.postimg.cc/VLQxY4ys/M913-BR180.jpg
M913-BR181,Charcoal,2  1/16,1  1/8 ,  9/16,15,142.5,N/A,https://i.postimg.cc/qvQSxTNg/M913-BR181.jpg
M919-BK79,Charcoal,2  1/2 ,1,  5/16,18,171,N/A,https://i.postimg.cc/Dw7RGZyt/M919-BK79.jpg
M919-BR17,Bronze,2  1/2 ,1,  5/16,18,171,N/A,https://i.postimg.cc/TPwSk4b0/M919-BR17.jpg
